Num. Data,Num. Parameters (Num Features),repeat_idx,Train MSE,Test MSE
15,1,0,0.46817350145461417,0.49786532765524255
15,1,1,0.34115425697889545,0.5150774612019585
15,1,2,0.6396851281703756,0.5207882785125989
15,1,3,0.5284111854658592,0.5073973605015776
15,1,4,0.33129453812506127,0.5055442940811218
15,1,5,0.5599559872604124,0.5157334446845275
15,1,6,0.41300637750909985,0.5782378683484632
15,1,7,0.5665509239310312,0.5115200691885747
15,1,8,0.5295547476484835,0.4980878282233866
15,1,9,0.48895072027243597,0.4987057664464477
15,1,10,0.488907883541114,0.5077900604549549
15,1,11,0.38249429754827136,0.49901600866186663
15,1,12,0.5562227638124744,0.49878436533149934
15,1,13,0.6508043068403565,0.5306049999299952
15,1,14,0.5167948616372842,0.5152881777325797
15,1,15,0.35064436687255884,0.5713708226634165
15,1,16,0.5820345668372611,0.5064045283019171
15,1,17,0.35838770158296007,0.5238330302700992
15,1,18,0.5138365228024508,0.5038808826249341
15,1,19,0.4757608469474316,0.5010718673232389
15,1,20,0.31263944942043315,0.49947405317584886
15,1,21,0.6181388396988704,0.5124336902683858
15,1,22,0.5129510549262529,0.5095438627690342
15,1,23,0.47736209897641574,0.5121784763237316
15,1,24,0.4711384247230874,0.5613398883395767
15,1,25,0.35279481841274973,0.5488315101759479
15,1,26,0.49522704086021335,0.5062786181990953
15,1,27,0.5656536353521587,0.547479519996886
15,1,28,0.38554378230546743,0.5454696893670209
15,1,29,0.4177152009524153,0.5096542814099446
15,2,0,0.718420823790733,0.5119889509304575
15,2,1,0.70191453798384,0.5275575403144699
15,2,2,0.33791401041590474,0.5113935554881145
15,2,3,0.5695514129358864,0.5759269999483365
15,2,4,0.3463763517136805,0.6387978490087879
15,2,5,0.29618086746777095,0.625327935939115
15,2,6,0.31874702551985273,0.6464346845699684
15,2,7,0.4880592213830257,0.5056234157601468
15,2,8,0.4552277124530165,0.5175296822797725
15,2,9,0.40308017109794775,0.6287873279056575
15,2,10,0.4542089188500835,0.513094100507878
15,2,11,0.3245032456533977,0.5232005882387483
15,2,12,0.5264096984694626,0.5139200471431068
15,2,13,0.45681615711635365,0.519093060936916
15,2,14,0.43917545677021325,0.5011651302260285
15,2,15,0.3206828871169743,0.5290058449101696
15,2,16,0.2960827951285415,0.5172379053471182
15,2,17,0.32022661103751254,0.6203389980653158
15,2,18,0.6527455939804089,0.5987500933771077
15,2,19,0.47352929291851276,0.4999843555622445
15,2,20,0.5767495646184989,0.6058366109356004
15,2,21,0.45539053316660005,0.5105821764780533
15,2,22,0.40124448131706864,0.6171647260592524
15,2,23,0.31917045281430373,0.6861392613131699
15,2,24,0.5329662375984179,0.5801292698186175
15,2,25,0.33570164716169004,0.6308761775841076
15,2,26,0.5574865564227348,0.5174416882837702
15,2,27,0.3570369074556407,0.5886194296954269
15,2,28,0.35111222272294185,0.5967475566167448
15,2,29,0.4970520875572255,0.7278768479617735
15,3,0,0.4921709030087164,0.5378162056428345
15,3,1,0.43294160038066215,0.5393267705033654
15,3,2,0.33474900914082156,0.6427449193714326
15,3,3,0.2545496455823856,0.6020479024790645
15,3,4,0.5212787706918997,0.6609740119967278
15,3,5,0.3933459739783674,0.8166469922744414
15,3,6,0.35526509973394,0.6876509348280336
15,3,7,0.3977908059860481,0.51369396809632
15,3,8,0.4471334163564684,0.7156224814720191
15,3,9,0.38693575824527604,0.5266357923122548
15,3,10,0.3256862936845684,0.7333274755174713
15,3,11,0.4686813646087679,0.5100749923973847
15,3,12,0.43594812377030073,0.5011844689640749
15,3,13,0.5018214684491153,0.5086498711053791
15,3,14,0.47365050510393714,0.5020825952674793
15,3,15,0.4013206554723556,0.5856970396521015
15,3,16,0.16439232466087855,1.0255063277053178
15,3,17,0.3693992955412511,0.6632648080075294
15,3,18,0.45027628489735,0.5664674651978562
15,3,19,0.37535267349398715,0.6221251120279999
15,3,20,0.587105918780112,0.543404109675487
15,3,21,0.5704205005918123,0.5791391395203971
15,3,22,0.4418919617633596,0.5108882206658301
15,3,23,0.27343010474582885,0.736870471269651
15,3,24,0.48852354673477083,0.5546609727137914
15,3,25,0.3833382287017549,0.5714789750092941
15,3,26,0.42443743630342656,0.5656687523730224
15,3,27,0.49628712923673096,0.5821391322372906
15,3,28,0.4465733518548014,0.5158640567625227
15,3,29,0.34232959010789704,0.6149901029740483
15,4,0,0.41139619224140683,1.4050579641331393
15,4,1,0.18181293368708787,0.6513134178566249
15,4,2,0.39778097794523626,0.6587026700749057
15,4,3,0.4248806402211741,0.6222556117497772
15,4,4,0.5329290838820495,2.263111883020616
15,4,5,0.5507345880867796,0.5281339300465461
15,4,6,0.32753673542918693,0.5438700668015936
15,4,7,0.273388527375685,1.6806152459588473
15,4,8,0.41796607843995653,0.5144921023122606
15,4,9,0.2577158653669838,0.6474639414953883
15,4,10,0.3753795393120637,0.5216017389844183
15,4,11,0.25103123304313174,1.1788356032371905
15,4,12,0.5020197789557302,0.5580305526121813
15,4,13,0.36114155399947545,0.5767578598396224
15,4,14,0.43452343824862116,0.7458308274320486
15,4,15,0.2682385046444938,0.6614018519141435
15,4,16,0.43080037963720624,0.9449148148812528
15,4,17,0.5498218788039069,0.5182250586156085
15,4,18,0.26365021279896866,0.7714948979124941
15,4,19,0.42893782185534624,0.5503117240911191
15,4,20,0.3173760670726077,0.8795473637037381
15,4,21,0.41090995579222994,0.5510693476825121
15,4,22,0.3993901883710175,0.529759731611491
15,4,23,0.36370500286505186,0.7389877625309259
15,4,24,0.42403551210238866,0.570775158131747
15,4,25,0.33766962789498967,0.6784083739505075
15,4,26,0.46223526030992185,0.5456136254993309
